NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	AANSLUITINGEN_AANTAL	LEVERINGSRICHTING_PERC	FYSIEKE_STATUS_PERC	SOORT_AANSLUITING_PERC	SOORT_AANSLUITING	SJA_GEMIDDELD	SJA_LAAG_TARIEF_PERC	SLIMME_METER_PERC
"8716902000001"	"STEDIN ZEELAND"	"Noordweg"	"4413AC"	"4413AC"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	12	66,67	100,00	91,67	"3x25"	3287,67	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Noordweg"	"4413AC"	"4413AC"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	12	100,00	91,67	83,33	"G4"	1757,92	0,00	91,67
"8716902000001"	"STEDIN ZEELAND"	"Noordweg"	"4413AD"	"4413AD"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	14	64,29	100,00	57,14	"1x35"	3663,36	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Noordweg"	"4413AD"	"4413AD"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	14	100,00	100,00	92,86	"G4"	1031,21	0,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Hinkelingestraat"	"4413AE"	"4413AE"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	21	61,90	100,00	66,67	"1x35"	2279,86	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Hinkelingestraat"	"4413AE"	"4413AE"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	21	100,00	100,00	100,00	"G4"	835,43	0,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Hinkelingestraat"	"4413AG"	"4413AG"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	11	72,73	72,73	54,55	"3x25"	5849,36	90,91	72,73
"8717127750009"	"STEDIN ZEELAND"	"Hinkelingestraat"	"4413AG"	"4413AJ"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	31	100,00	96,77	93,55	"G4"	1496,42	0,00	96,77
"8716902000001"	"STEDIN ZEELAND"	"Scoudestraat"	"4413AH"	"4413AH"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	11	81,82	81,82	45,45	"1x35"	3893,00	100,00	81,82
"8716902000001"	"STEDIN ZEELAND"	"Scoudestraat"	"4413AJ"	"4413AJ"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	14	71,43	100,00	50,00	"1x35"	2810,86	100,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Piermanstraat"	"4413AK"	"4413AK"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	12	66,67	100,00	75,00	"3x25"	2188,50	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Piermanstraat"	"4413AK"	"4413AK"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	12	100,00	100,00	100,00	"G4"	865,50	0,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Blinkertstraat"	"4413AL"	"4413AM"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	19	26,32	100,00	94,74	"1x35"	1526,21	84,21	84,21
"8717127750009"	"STEDIN ZEELAND"	"Blinkertstraat"	"4413AL"	"4413AM"	"KRABBENDIJKE"	"NL"	"GAS"	"KVB"	18	100,00	100,00	100,00	"G4"	980,78	0,00	88,89
"8716902000001"	"STEDIN ZEELAND"	"Morlodestraat"	"4413AN"	"4413AN"	"KRABBENDIJKE"	"NL"	"ELK"	"KVB"	15	73,33	100,00	60,00	"3x25"	3133,60	100,00	100,00
