Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2017";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2018";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2019";"Zeeland";"77,9315130383005";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2020";"Zeeland";"77,0331810561521";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2021";"Zeeland";"92,0904265126348";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2022";"Zeeland";"91,0830000949311";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2023";"Zeeland";"88,5629544703903";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2024";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"1.3.1 CO₂-uitstoot Gebouwde omgeving (verbruiksbenadering)";"CO₂-uitstoot Gebouwde omgeving (aardgas, elektr. en stadswarmte woningen)";"kton";"2024";"Zeeland";"698,391495144056";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"1.3.2 CO₂-uitstoot Gebouwde omgeving (bronbenadering)";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2024";"Zeeland";"443,12744832139";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
