Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2020";"Zeeland";"?";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2021";"Zeeland";"116351,634849546";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2022";"Zeeland";"93976,9462917884";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2023";"Zeeland";"?";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2024";"Zeeland";"104564,787196094";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2010";"Zeeland";"215,517725313063";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2011";"Zeeland";"304,120022227669";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2012";"Zeeland";"333,663461150991";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2013";"Zeeland";"321,27061814056";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Hernieuwbare energie naar verbruiksvorm";"Totaal bekende hernieuwbare energie voor vervoer";"TJ";"2014";"Zeeland";"379,641900486797";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
