Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2014";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2015";"Zeeland";"6229,63889406629";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2016";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2017";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2018";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2019";"Zeeland";"3990,95256792731";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2020";"Zeeland";"?";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2021";"Zeeland";"5310,10611105716";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2022";"Zeeland";"4062,59317911794";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2010";"Zeeland";"8701,2788002733";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2011";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2012";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2013";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2014";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2015";"Zeeland";"8649,56691573614";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2016";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2017";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2018";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2019";"Zeeland";"9705,78220359579";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2020";"Zeeland";"9248,65611879701";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2021";"Zeeland";"9304,25870588789";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2022";"Zeeland";"7814,75143484751";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie bronbenadering (1.5.2 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie bronbenadering";"kton CO2-equivalent";"2023";"Zeeland";"7300,45551483307";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2010";"Zeeland";"7332,10035002704";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2011";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2012";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2013";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2014";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2015";"Zeeland";"5812,66581111628";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2016";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2017";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2018";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2019";"Zeeland";"3574,02016229346";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2020";"Zeeland";"?";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2021";"Zeeland";"4994,99670726489";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie verbruiksbenadering en niet-energetisch (1.5.1 + 1.5.3)";"Totaal CO₂-emissies Industrie verbruiksbenadering en niet-energetisch";"kton";"2022";"Zeeland";"3842,3854885924";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2000";"Zeeland";"7509,47915552475";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2001";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2002";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2003";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2004";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2005";"Zeeland";"9492,02021059972";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2006";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2007";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2008";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2009";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2010";"Zeeland";"8160,38511713955";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2011";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2012";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2013";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2014";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2015";"Zeeland";"8232,59383278613";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2016";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2017";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"CO₂-emissies Industrie bronbenadering en niet-energetisch  (1.5.2 + 1.5.3)";"Totaal CO₂-emissies Industrie bronbenadering en niet-energetisch";"kton";"2018";"Zeeland";"x";"";"";
