Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2022";"Zeeland";"1390";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2022";"Zeeland";"1520";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2022";"Zeeland";"1673";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2022";"Zeeland";"1787";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2023";"Zeeland";"1753";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2023";"Zeeland";"2150";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2023";"Zeeland";"2250";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2023";"Zeeland";"2360";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2024";"Zeeland";"2135";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2024";"Zeeland";"2458";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2024";"Zeeland";"2754";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2024";"Zeeland";"2784";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2025";"Zeeland";"2598";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2025";"Zeeland";"2625";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2025";"Zeeland";"2590";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2025";"Zeeland";"2691";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2026";"Zeeland";"2754";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2026";"Zeeland";"2733";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
